product_id,avg_rating,total_reviews,predicted_sentiment,positive_rating_pct
P420652,4.327302953256405,10226,positive,80.76
P427421,3.9649079754601226,4075,positive,69.84
P450271,4.494983277591973,3887,positive,86.18
P417238,4.494983277591973,3887,positive,86.18
P269122,4.597003154574132,3804,positive,92.64
P427417,4.235388310648519,3747,positive,80.04
P411387,4.195027624309392,3620,positive,76.71
P441644,4.196235815112095,3613,positive,76.75
P394639,4.47546958228203,3567,positive,87.3
P411540,3.944215530903328,3155,positive,69.48
P423688,4.695273214884344,2983,positive,93.8
P443352,4.695273214884344,2983,positive,93.8
P471546,3.965679676985195,2972,positive,70.19
P429952,4.032542372881356,2950,positive,73.56
P480630,4.032542372881356,2950,positive,73.56
P421275,4.197844228094576,2876,positive,79.62
P309308,4.366265965439519,2662,positive,83.77
P418218,3.9960567823343847,2536,positive,70.47
P454794,3.9960567823343847,2536,positive,70.47
P460779,4.470347648261758,2445,positive,90.06
P427419,4.173543173117822,2351,positive,77.88
P433520,4.393272962483829,2319,positive,85.73
P443563,4.3854796888504755,2314,positive,83.23
P394624,4.600523331879634,2293,positive,91.02
P456412,4.570864414216762,2279,positive,90.79
P7880,4.299815498154982,2168,positive,80.86
P442563,4.571964369432724,2133,positive,89.22
P458219,4.411320754716981,2120,positive,84.95
P467762,4.411320754716981,2120,positive,84.95
P441101,4.086067522586781,2103,positive,73.04
P454380,4.2425978987583575,2094,positive,78.03
P470255,4.24223602484472,2093,positive,78.02
P480612,4.457431457431458,2079,positive,90.14
P431180,3.9568567026194144,1947,positive,71.19
P439061,4.209902011346054,1939,positive,80.51
P481084,4.369359916054565,1906,positive,86.52
P479839,4.369359916054565,1906,positive,86.52
P430337,4.34796573875803,1868,positive,83.94
P427406,4.37439742903053,1867,positive,83.99
P455364,3.5905598243688255,1822,positive,59.82
P478030,3.5905598243688255,1822,positive,59.82
P456398,4.510731975784259,1817,positive,89.65
P422905,4.480577136514984,1802,positive,88.12
P426836,3.9295695919508105,1789,positive,69.82
P411403,4.648495173197047,1761,positive,93.7
P409800,4.284893739230327,1741,positive,81.05
P456207,4.395294117647059,1700,positive,87.0
P392246,4.38777979431337,1653,positive,83.85
P422510,4.479166666666667,1632,positive,86.52
P421996,4.479166666666667,1632,positive,86.52
P442840,4.303405572755418,1615,positive,79.5
P479860,4.303405572755418,1615,positive,79.5
P375849,4.093984962406015,1596,positive,75.63
P426183,4.094043887147335,1595,positive,75.61
P473160,4.4569620253164555,1580,positive,87.34
P415771,4.4569620253164555,1580,positive,87.34
P126301,4.434865900383142,1566,positive,84.8
P453816,4.434865900383142,1566,positive,84.8
P461555,4.36480411046885,1557,positive,81.63
P440307,4.36480411046885,1557,positive,81.63
P415777,4.250965250965251,1554,positive,79.67
P504595,4.52477183833116,1534,positive,88.2
P461537,4.52477183833116,1534,positive,88.2
P270594,4.591058514135438,1521,positive,90.73
P461160,4.074025115664243,1513,positive,74.42
P461933,4.074025115664243,1513,positive,74.42
P461159,4.074025115664243,1513,positive,74.42
P427536,4.149501661129568,1505,positive,76.35
P504615,4.149501661129568,1505,positive,76.35
P456213,4.532885906040269,1490,positive,89.6
P459299,4.532885906040269,1490,positive,89.6
P458216,4.2487972508591065,1455,positive,80.14
P455676,4.2487972508591065,1455,positive,80.14
P248407,4.282913165266106,1428,positive,79.69
P421235,4.284188034188034,1404,positive,82.55
P466123,4.4421279654924515,1391,positive,85.69
P432668,4.432063263838965,1391,positive,84.97
P433887,4.225341972642188,1389,positive,80.2
P422536,4.384282624369142,1387,positive,84.35
P432829,4.339402767662054,1373,positive,80.63
P463371,4.339402767662054,1373,positive,80.63
P406712,4.168514412416852,1353,positive,76.87
P421243,4.169924812030075,1330,positive,76.02
P427414,4.116833205226748,1301,positive,74.94
P434548,4.32409545804465,1299,positive,82.22
